ticker,nombre,pais,bolsa,sector_damodaran,segmento,incluida,pct_ingresos_negocio,notas
ALA,A.L.A. societa per azioni,Italy,BIT,Transportation,,no,,Distribucion de componentes aeroespaciales
AUTME,Autostrade Meridionali,Italy,BIT,Transportation,,no,,Concesion de autopista
FCH,Franchetti S.p.A.,Italy,BIT,Transportation,,no,,Ingenieria de infraestructura
SBC,Sicily by Car,Italy,BIT,Transportation,,no,,Renta de autos turistica
ALQ,Alquiber Quality,Spain,BME,Transportation,,no,,Renta de flota pequeña
CRGO,Freightos Limited,Spain,NasdaqCM,Transportation,,no,,Plataforma digital de reserva de fletes
ELAN B,Elanders AB,Sweden,OM,Transportation,,no,,Impresion y cadena de suministro. Negocio mixto
RAIL,Railcare Group,Sweden,OM,Transportation,,no,,Mantenimiento ferroviario
MBBAB,MoveByBike Europe,Sweden,XSAT,Transportation,,no,,Micro-cap de reparto en bicicleta
FERGR,Ferrari Group PLC,United Kingdom,ENXTAM,Transportation,,no,,Logistica de bienes de lujo. sin 3 años de historia
THL,Tourism Holdings,New Zealand,NZSE,Transportation,,no,,Renta de vehiculos recreativos para turismo
FRGT,Freight Technologies,Mexico,NasdaqCM,Transportation,,no,,Plataforma tecnologica de logistica. Micro-cap
PINFRA,Promotora y Operadora de Infraestructura,Mexico,BMV,Transportation,,no,,Concesiones de infraestructura
DONKEY,DonkeyRepublic Holding,Denmark,CPSE,Transportation,,no,,Bicicletas compartidas
GREENM,GreenMobility,Denmark,CPSE,Transportation,,no,,Carsharing electrico
OKEAC,Det Ostasiatiske Kompagni,Denmark,CPSE,Transportation,,no,,Holding diversificado
